"point","aud","cad","chf","eur","gbp","jpy","nzd","sek","usd"
"01y01y",0.187314546859001,-0.911859549638827,0.200747694029541,0.0927782905774084,-0.055879925909359,0.181761551826962,-0.338994006630845,0.080009935771586,-0.977824067183624
"02y01y",-0.0644043147969922,-1.60195318135181,0.352249253800466,-0.232542113142923,-0.627302842297805,0.288060436683432,-1.03089784553604,-0.285821363411642,-1.84483004352575
"03y01y",0.00295433628264341,-1.90419340349051,0.421726854757978,-0.329292738467841,-0.927788331121342,0.349276280368731,-1.23881219459353,-0.534006517036008,-1.95826924087485
"04y01y",0.225303407223874,-1.93970706698442,0.516022449367792,-0.314546604690128,-1.14614046349048,0.46941842401233,-1.26623294425838,-0.627314214529336,-1.93675588731237
"05y01y",0.427843304145809,-1.66959209660236,0.595394609309101,-0.292659850296455,-1.30573771406086,0.647065073655031,-1.15259817062608,-0.583289282262175,-1.84161323432259
"06y01y",0.511733801651266,-1.49929039135596,0.694594754752339,-0.244798129903847,-1.48239364199006,0.797660516510734,-1.08586366387378,-0.69275733081687,-1.83772118335671
"07y01y",0.607742033237963,-1.37915618646061,0.754067576808963,-0.17096909617848,-1.53124604274628,0.875351391741122,-1.03641385778882,-0.579568135757873,-1.80228393126599
"08y01y",0.625024101711642,-1.37020946394733,0.754005544636794,-0.102767909335113,-1.63649349513646,0.967238207826872,-1.05373346058668,-0.493763605197194,-1.71181503196271
"09y01y",0.595290924571824,-1.3967549455747,0.848196366737311,-0.0125670143666481,-1.32238069290885,1.05685208719765,-1.0388981801537,-0.593089480334948,-1.62459916469259
"10y01y",0.639811510510675,-1.28483881732616,0.911475361882946,-0.0121391500330796,-1.27973479898855,1.14774578768498,-0.975302387494397,-0.661146261264552,-1.57117538525537
"11y01y",0.686754727463341,-1.13934544144063,0.939512272691831,-0.0622358930749236,-1.35415389074151,1.23629987247124,-0.90528465091823,-0.706450917767394,-1.53297950503053
"12y01y",0.698329450175489,-1.01718745442074,0.943291937858573,-0.142756792617975,-1.41862073856439,1.31968503040387,-0.846929523211685,-0.751577968923669,-1.50870266821327
"13y01y",0.664660336917112,-0.935489383251194,0.918765312048952,-0.25711447517771,-1.46813687165406,1.39767380929101,-0.809879274993412,-0.796189788883046,-1.50576642340666
"14y01y",0.575870407979029,-0.911355932207726,0.86188075347636,-0.408730221725189,-1.49770031236841,1.47003880606472,-0.803773717703164,-0.839948658443075,-1.53159175615429
"15y01y",0.432652916648291,-0.950644973016269,0.774973309857629,-0.592660598822957,-1.50720593164299,1.53547870663077,-0.829966822879594,-0.882620293754778,-1.58815476198363
"16y01y",0.272708812658296,-1.01989803833771,0.682741121308394,-0.774647641385528,-1.51369921102138,1.58893539949131,-0.860817513392524,-0.924332715642597,-1.65837375088472
"17y01y",0.11126240240974,-1.10955293585552,0.596296119605771,-0.938211121370718,-1.52382257321719,1.62763670188308,-0.886291179008973,-0.964993959514317,-1.73673942175831
"18y01y",-0.0457132266625577,-1.21988464371646,0.521160555494571,-1.0741816447388,-1.53993325235914,1.64975117459276,-0.90360216631578,-1.00442143682667,-1.82250747702208
"19y01y",-0.192241031597595,-1.35117164569894,0.462860821416061,-1.17337412047441,-1.56438903516606,1.65344745977465,-0.909964524518718,-1.04243251418924,-1.91493371100345
"20y01y",-0.324471267297099,-1.4992757107045,0.422527853019461,-1.23537898773465,-1.59742013441626,1.63998439333292,-0.904766823763851,-1.07885268579741,-2.01164460306546
"21y01y",-0.445758437585441,-1.64511387345048,0.386419657222719,-1.28950634198266,-1.63206062886635,1.62106585213568,-0.894750192176234,-1.11353503260023,-2.10475712884135
"22y01y",-0.554482268644451,-1.77991045302463,0.351057467332621,-1.3445822926844,-1.66630832675157,1.60117702009226,-0.881581502558563,-1.14631354081929,-2.19018804291581
"23y01y",-0.647091733796401,-1.89888221067313,0.316942706679313,-1.40148547530501,-1.70008621992299,1.5820053823929,-0.864960073724967,-1.17701477267809,-2.26532683565923
"24y01y",-0.720033647240125,-1.99723938650909,0.284576995219571,-1.46109522189085,-1.73331726753717,1.56523818725448,-0.844585265511359,-1.20546526110761,-2.32756177463718
"25y01y",-0.769224915329724,-2.07128146150596,0.255551840838458,-1.52211322005192,-1.76645161390888,1.55179766125502,-0.820156489035122,-1.23148948975052,-2.3746836133673
"26y01y",-0.788833972039382,-2.12092690752622,0.235063871484581,-1.57603326163993,-1.80168361727797,1.54007634295778,-0.791373218017559,-1.2549052261835,-2.4058173337082
"27y01y",-0.774327797669738,-2.14339712067112,0.22562865748934,-1.6197054302431,-1.83991058694109,1.53035045125762,-0.757935000999492,-1.27553520032117,-2.41909427489902
