,Currency,Tenor,Tenor Ticker,Rolldown,last_week_yield,ccy_test,last_week_rolldown
82,GBP,25Y,AU379648 Corp,0.017,5.023,True,-0.001000000000000334
83,GBP,30Y,ZM382322 Corp,0.015,5.037,True,0.014000000000000234
84,GBP,40Y,ZK165791 Corp,-0.112,4.921,True,-0.11599999999999966
85,GBP,50Y,BU075688 Corp,-0.332,4.595,True,-0.3260000000000005
86,JGB,1M,ZI309215 Corp,,-0.1887,False,
87,JGB,3M,ZH493186 Corp,0.019,-0.2074,True,-0.018699999999999994
88,JGB,6M,ZH183174 Corp,0.018,-0.1404,True,0.067
89,JGB,1Y,BZ396061 Corp,0.068,-0.077,True,0.0634
90,JGB,2Y,ZH183180 Corp,0.142,0.063,True,0.14
91,JGB,3Y,QZ413850 Corp,0.055,0.115,True,0.052000000000000005
92,JGB,4Y,AP027592 Corp,0.105,0.216,True,0.10099999999999999
93,JGB,5Y,ZH437639 Corp,0.127,0.347,True,0.13099999999999998
94,JGB,6Y,ZR885925 Corp,0.073,0.401,True,0.05400000000000005
95,JGB,7Y,BN361059 Corp,0.168,0.565,True,0.16399999999999992
96,JGB,8Y,BR788662 Corp,0.107,0.653,True,0.08800000000000008
97,JGB,9Y,BZ503564 Corp,0.091,0.74,True,0.08699999999999997
98,JGB,10Y,ZH264747 Corp,0.055,0.804,True,0.06400000000000006
99,JGB,15Y,AV122750 Corp,0.492,1.277,True,0.47299999999999986
100,JGB,20Y,ZH548728 Corp,0.29,1.578,True,0.30100000000000016
101,JGB,30Y,ZH320472 Corp,0.204,1.759,True,0.18099999999999983
102,JGB,40Y,ZK786267 Corp,0.269,2.032,True,0.27300000000000013
103,nzd,3M,ZM739209 Corp,,5.882,False,
104,nzd,6M,ZK347427 Corp,-0.286,5.588,True,-0.2939999999999996
105,nzd,1Y,ZH627388 Corp,0.001,,True,
106,nzd,2Y,JK597058 Corp,0.019,5.613,True,
107,nzd,5Y,BM049358 Corp,-0.327,5.357,True,-0.2560000000000002
108,nzd,7Y,ZR609878 Corp,0.115,5.438,True,0.08099999999999952
109,nzd,10Y,QJ109447 Corp,0.04,5.467,True,0.028999999999999915
110,nzd,15Y,QZ292796 Corp,0.158,5.632,True,0.16500000000000004
111,nzd,20Y,BK432795 Corp,0.044,5.68,True,0.04800000000000004
112,nzd,30Y,BR221951 Corp,-0.056,5.648,True,-0.03200000000000003
113,sek,3M,ZH166709 Corp,,3.863,False,
114,sek,6M,ZL374181 Corp,0.056,3.902,True,0.039000000000000146
115,sek,1Y,ZI673511 Corp,0.137,4.039,True,0.13699999999999957
116,sek,2Y,EK041769 Corp,-0.536,3.546,True,-0.4929999999999999
117,sek,4Y,EK914594 Corp,-0.302,3.253,True,-0.2929999999999997
118,sek,5Y,AM216366 Corp,-0.148,3.101,True,-0.15200000000000014
119,sek,7Y,AS783715 Corp,-0.049,3.043,True,-0.05799999999999983
120,sek,8Y,BH066135 Corp,-0.017,3.024,True,-0.019000000000000128
121,sek,9Y,EJ085746 Corp,0.001,3.019,True,-0.004999999999999893
122,sek,10Y,BW183328 Corp,0.027,3.049,True,0.029999999999999805
123,sek,15Y,EH766910 Corp,0.105,3.128,True,0.07900000000000018
124,sek,25Y,BM603929 Corp,-0.005,3.089,True,-0.039000000000000146
125,sek,50Y,BQ090624 Corp,0.263,3.355,True,0.266
126,BTP,3M,ZK770604 Corp,,3.774,False,
127,BTP,6M,ZH087117 Corp,0.192,3.982,True,0.20800000000000018
128,BTP,1Y,ZH365012 Corp,-0.039,3.99,True,0.008000000000000007
129,BTP,2Y,ZJ946458 Corp,0.039,4.132,True,0.14199999999999946
130,BTP,3Y,ZJ731593 Corp,0.039,4.171,True,0.03900000000000059
131,BTP,4Y,AO147957 Corp,0.035,4.196,True,0.024999999999999467
132,BTP,5Y,ZK796557 Corp,0.167,4.351,True,0.15500000000000025
133,BTP,6Y,ZN261333 Corp,0.194,4.541,True,0.1900000000000004
134,BTP,7Y,ZI836658 Corp,0.12,4.666,True,0.125
135,BTP,8Y,BP968841 Corp,0.077,4.746,True,0.08000000000000007
136,BTP,9Y,BW152567 Corp,0.102,4.842,True,0.0959999999999992
137,BTP,10Y,ZK356093 Corp,0.137,4.979,True,0.13700000000000045
138,BTP,15Y,BW763624 Corp,0.302,5.254,True,0.27499999999999947
139,BTP,20Y,ZM337817 Corp,0.136,5.374,True,0.1200000000000001
140,BTP,25Y,AX099966 Corp,-0.047,5.31,True,-0.06400000000000006
141,BTP,30Y,ZL106368 Corp,0.085,5.394,True,0.08400000000000052
142,BTP,50Y,BO952242 Corp,-0.467,4.878,True,-0.516
