,Currency,Tenor,Tenor Ticker,yield,Rolldown,last_week_yield,ccy_test,last_week_rolldown
73,GBP,5Y,ZK981587 Corp,4.316,0.105,4.498,True,0.14100000000000001
74,GBP,6Y,BR181418 Corp,4.257,-0.059,4.43,True,-0.0680000000000005
75,GBP,7Y,BH295614 Corp,4.206,-0.051,4.387,True,-0.04300000000000015
76,GBP,8Y,BS656441 Corp,4.303,0.097,4.491,True,0.10400000000000009
77,GBP,9Y,EC256595 Corp,4.266,-0.037,4.45,True,-0.04099999999999948
78,GBP,10Y,ZN905632 Corp,4.369,0.103,4.558,True,0.10799999999999965
79,GBP,12Y,ZO277567 Corp,4.517,0.148,4.699,True,0.14100000000000001
80,GBP,15Y,BZ691391 Corp,4.694,0.177,4.883,True,0.18400000000000016
81,GBP,20Y,EG506481 Corp,4.812,0.118,4.995,True,0.1120000000000001
82,GBP,25Y,AU379648 Corp,4.831,0.019,5.016,True,0.020999999999999908
83,GBP,30Y,ZM382322 Corp,4.845,0.014,5.03,True,0.014000000000000234
84,GBP,40Y,ZK165791 Corp,4.744,-0.101,4.923,True,-0.1070000000000002
85,GBP,50Y,BU075688 Corp,4.402,-0.342,4.589,True,-0.33399999999999963
86,JGB,1M,ZI588846 Corp,-0.185,,-0.1885,False,
87,JGB,3M,ZH744069 Corp,-0.202,-0.017,-0.2037,True,-0.015199999999999991
88,JGB,6M,ZH183174 Corp,-0.132,0.07,-0.1436,True,0.06009999999999999
89,JGB,1Y,ZN003014 Corp,-0.027,0.105,-0.039,True,0.1046
90,JGB,2Y,ZH806302 Corp,0.129,0.156,,True,
91,JGB,3Y,QZ413850 Corp,0.189,0.06,0.16,True,
92,JGB,4Y,AP027592 Corp,0.302,0.113,0.266,True,0.10600000000000001
93,JGB,5Y,ZH437639 Corp,0.425,0.123,0.399,True,0.133
94,JGB,6Y,ZR885925 Corp,0.502,0.077,0.477,True,0.07799999999999996
95,JGB,7Y,BN361059 Corp,0.642,0.14,0.644,True,0.16700000000000004
96,JGB,8Y,BR788662 Corp,0.742,0.1,0.747,True,0.10299999999999998
97,JGB,9Y,BZ503564 Corp,0.836,0.094,0.847,True,0.09999999999999998
98,JGB,10Y,ZH264747 Corp,0.877,0.041,0.887,True,0.040000000000000036
99,JGB,15Y,AV122750 Corp,1.355,0.478,1.389,True,0.502
100,JGB,20Y,ZH548728 Corp,1.636,0.281,1.681,True,0.29200000000000004
101,JGB,30Y,ZH320472 Corp,1.825,0.189,1.851,True,0.16999999999999993
102,JGB,40Y,ZK786267 Corp,2.06,0.235,2.105,True,0.254
103,nzd,3M,ZM739209 Corp,5.557,,,False,
104,nzd,6M,ZK347427 Corp,5.428,-0.129,5.57,True,
