,Currency,Tenor,Tenor Ticker,yield,Rolldown
115,sek,1Y,ZI673511 Corp,4.029,-0.018
116,sek,2Y,EK041769 Corp,3.425,-0.604
117,sek,4Y,EK914594 Corp,3.026,-0.399
118,sek,5Y,AM216366 Corp,2.864,-0.162
119,sek,7Y,AS783715 Corp,2.819,-0.045
120,sek,8Y,BH066135 Corp,2.811,-0.008
121,sek,9Y,EJ085746 Corp,2.811,0.0
122,sek,10Y,BW183328 Corp,2.846,0.035
123,sek,15Y,EH766910 Corp,2.966,0.12
124,sek,25Y,BM603929 Corp,2.997,0.031
125,sek,50Y,BQ090624 Corp,3.265,0.268
126,BTP,3M,ZK770604 Corp,3.92,
127,BTP,6M,ZH087117 Corp,3.918,-0.002
128,BTP,1Y,ZH365012 Corp,3.856,-0.062
129,BTP,2Y,ZJ946458 Corp,3.779,-0.077
130,BTP,3Y,ZJ731593 Corp,3.769,-0.01
131,BTP,4Y,AQ935391 Corp,3.85,0.081
132,BTP,5Y,ZH117239 Corp,4.035,0.185
133,BTP,6Y,ZN261333 Corp,4.124,0.089
134,BTP,7Y,ZI836658 Corp,4.256,0.132
135,BTP,8Y,BP968841 Corp,4.332,0.076
136,BTP,9Y,BW152567 Corp,4.446,0.114
137,BTP,10Y,ZI608433 Corp,4.634,0.188
138,BTP,15Y,BW763624 Corp,4.915,0.281
139,BTP,20Y,ZM337817 Corp,5.07,0.155
140,BTP,25Y,AX099966 Corp,5.023,-0.047
141,BTP,30Y,ZL106368 Corp,5.129,0.106
142,BTP,50Y,BO952242 Corp,4.701,-0.428
