"point","aud","cad","chf","eur","gbp","jpy","nzd","sek","usd"
"01y01y",0.187314546859001,-0.911859549638827,0.200747694029541,0.0927782905774084,-0.055879925909359,0.181761551826962,-0.338994006630845,0.080009935771586,-0.977824067183624
"02y01y",-0.251718861655993,-0.690093631712985,0.151501559770924,-0.325320403720331,-0.571422916388446,0.10629888485647,-0.691903838905195,-0.365831299183228,-0.867005976342125
"03y01y",0.0673586510796356,-0.302240222138697,0.0694776009575122,-0.0967506253249182,-0.300485488823536,0.0612158436852993,-0.207914349057486,-0.248185153624366,-0.113439197349102
"04y01y",0.22234907094123,-0.0355136634939068,0.0942955946098141,0.0147461337777131,-0.218352132369143,0.120142143643598,-0.02742074966485,-0.0933076974933282,0.021513353562483
"01y02y",-0.0417448839689962,-0.819206365495319,0.173998473915004,-0.126781911282758,-0.336921384103582,0.143990994255197,-0.530245926083443,-0.149405713820028,-0.932827055354687
"02y02y",-0.0921801052881781,-0.496166926925841,0.110489580364218,-0.211035514522624,-0.435954202605991,0.0837573642708848,-0.44990909398134,-0.307008226403797,-0.490222586845614
"03y02y",0.144853861010433,-0.168876942816302,0.0818865977836631,-0.0410022457736026,-0.25941881059634,0.0906789936644488,-0.117667549361169,-0.170746425558847,-0.0459629218933095
"04y02y",0.212444483931583,0.117300653444074,0.0868338772755612,0.0183164440856927,-0.188974691469759,0.14889439664315,0.0431070119837229,-0.0246413826130834,0.0583280032761326
"05y02y",0.143215197213696,0.220208337814227,0.0892861526922737,0.0348742373931406,-0.168126589249789,0.164121046249202,0.0901846401922981,-0.0327215581437663,0.0495173519778307
"06y02y",0.0899493645460776,0.145217955070875,0.0793364837499311,0.0608453770589881,-0.11275416434271,0.114143159043045,0.0580921564186276,0.00186057325215039,0.0196646515282963
"07y02y",0.056645150030187,0.0645404637043172,0.0297053949422277,0.071015110284367,-0.0770499265731996,0.0847888456580687,0.0160651016435507,0.099496862809838,0.0629530756969974
"08y02y",-0.00622555433306893,-0.00879937955704646,0.0470643949641738,0.0792010409059154,0.104432674918715,0.0907503477282647,-0.00124216118243847,-0.00676067228853761,0.0888423832866998
"09y02y",0.00739370439951603,0.0426853233105815,0.078734908623076,0.0453143796510167,0.178379348073954,0.0902537899290543,0.0392155365461422,-0.0836913280336793,0.0703198233536733
"01y03y",-0.0109451438851171,-0.654568711493716,0.137407934195995,-0.122252187011118,-0.336240366442835,0.116332756293042,-0.429868015586804,-0.185705981558688,-0.663641117194742
"02y03y",0.0126629534549583,-0.342615839115196,0.10509158511275,-0.135774965089179,-0.363420179193709,0.0958856240617893,-0.309079645875844,-0.235774716766974,-0.319643940042914
"03y03y",0.1640825396476,-0.0225463050835164,0.0810484518362118,-0.0200392457178444,-0.226144957254351,0.119668212323866,-0.0405667750300132,-0.0991559729501779,0.00107226973438745
"04y03y",0.169593155122874,0.134967670711516,0.0909559666647868,0.0281648695213317,-0.184868436956239,0.149461412047334,0.0509828435732493,-0.0529169379269541,0.0401826858393814
"05y03y",0.127479542004696,0.186850293507935,0.0793483758137239,0.0478591695038824,-0.128368526418599,0.135310989242931,0.0766063621565172,0.0159153595904877,0.0448239853487915
"06y03y",0.0657269325219438,0.0997942108850109,0.0528703117758977,0.0632973136537811,-0.1102519270252,0.10672437805728,0.0329549033464662,0.0298418923549937,0.043266067453291
"07y03y",0.0278523743068533,0.0341784819270856,0.0512005373283237,0.0774103718457329,0.0533376496937374,0.0863971902289724,0.0156551612400273,0.0332226168273069,0.0710406728880382
"08y03y",0.01068982575757,0.0314391230448159,0.0524692616913278,0.0529433153818002,0.0838370812525753,0.0907981319812861,0.0203704900981423,-0.0271927085022261,0.0770361820035426
"09y03y",0.0205768752505664,0.0769546741689,0.0618355760183456,0.0135106720867295,0.0941132014649848,0.0896872215481224,0.0494829365561502,-0.0708957708567337,0.0596118423107268
"10y03y",0.0343461752012217,0.126522497051322,0.031698523707087,-0.0433965927504425,-0.0320800152185141,0.08761098106874,0.0639895523140046,-0.0528294961962401,0.0386321654931074
"11y03y",0.00828294213547931,0.116449811358323,0.00242998338866895,-0.0816584417148771,-0.0628006908885039,0.0833093405353424,0.0551410375003281,-0.0450145092061649,0.0218029872829026
"12y03y",-0.0369614398281035,0.0759965030776342,-0.0258771730718235,-0.115498109550088,-0.0478488072089664,0.0779129778644925,0.0338369777383551,-0.0444992468918937,0.000462582958746793
"13y03y",-0.088558844509067,0.0221808271348225,-0.056106209333648,-0.14996793540166,-0.0295283976928671,0.071931225408967,0.00565423344403015,-0.0436807749437031,-0.0264840312567847
"14y03y",-0.130650508086272,-0.0281362183621714,-0.0786747302468527,-0.172511055402606,-0.0151874464557702,0.0637538634000996,-0.0169794127997038,-0.0427143089198503,-0.0508691091593536
"01y04y",0.0430419938921309,-0.504428300366391,0.125186562988945,-0.0918007914308712,-0.313927890704747,0.117209173222864,-0.334034247754697,-0.164683039801349,-0.495219809724148
"02y04y",0.0601321893217026,-0.189433136740883,0.0986617288198897,-0.0963595352184656,-0.312464447037875,0.116325880457017,-0.203401040998809,-0.165824804508441,-0.215947291784741
